Time Steps,Interpolated Volumes
0.0,52.15
0.002424463333333333,52.2
0.004848926666666666,52.26
0.007273389999999999,52.32
0.009697853333333332,52.39
0.012122316666666666,52.46
0.014546779999999999,52.53
0.01697124333333333,52.61
0.019395706666666665,52.69
0.02182017,52.78
0.02424463333333333,52.87
0.026669096666666663,52.97
0.029093559999999997,53.07
0.03151802333333333,53.17
0.03394248666666666,53.28
0.036366949999999995,53.39
0.03879141333333333,53.51
0.041215876666666665,53.63
0.04364034,53.75
0.04606480333333333,53.88
0.04848926666666666,54.01
0.05091373,54.21
0.053338193333333325,54.29
0.05576265666666666,54.44
0.058187119999999995,54.59
0.06061158333333333,54.74
0.06303604666666666,54.9
0.06546051,55.06
0.06788497333333332,55.23
0.07030943666666666,55.4
0.07273389999999999,55.57
0.07515836333333333,55.75
0.07758282666666666,55.93
0.08000729,56.13
0.08243175333333333,56.34
0.08485621666666666,56.58
0.08728068,56.84
0.08970514333333332,57.12
0.09212960666666666,57.42
0.09455406999999999,57.75
0.09697853333333332,58.09
0.09940299666666666,58.46
0.10182746,59.2
0.10425192333333333,59.26
0.10667638666666665,59.69
0.10910084999999999,60.15
0.11152531333333332,60.62
0.11394977666666666,61.12
0.11637423999999999,61.64
0.11879870333333332,62.18
0.12122316666666666,62.75
0.12364763,63.33
0.12607209333333333,63.94
0.12849655666666665,64.57
0.13092102,65.22
0.13334548333333332,65.86
0.13576994666666664,66.49
0.13819441,67.12
0.1406188733333333,67.73
0.14304333666666666,68.34
0.14546779999999998,68.93
0.14789226333333333,69.52
0.15031672666666665,70.09
0.15274119,71.37
0.15516565333333332,71.21
0.15759011666666664,71.76
0.16001458,72.3
0.1624390433333333,72.82
0.16486350666666666,73.34
0.16728796999999998,73.85
0.16971243333333333,74.35
0.17213689666666665,74.83
0.17456136,75.31
0.17698582333333332,75.78
0.17941028666666664,76.24
0.18183475,76.69
0.1842592133333333,77.13
0.18668367666666666,77.55
0.18910813999999998,77.96
0.19153260333333333,78.36
0.19395706666666665,78.74
0.19638152999999997,79.11
0.19880599333333332,79.46
0.20123045666666664,79.8
0.20365492,80.66
0.2060793833333333,80.44
0.20850384666666666,80.74
0.21092830999999998,81.03
0.2133527733333333,81.3
0.21577723666666665,81.56
0.21820169999999997,81.8
0.22062616333333332,82.03
0.22305062666666664,82.25
0.22547509,82.45
0.2278995533333333,82.64
0.23032401666666666,82.82
0.23274847999999998,82.98
0.2351729433333333,83.13
0.23759740666666665,83.27
0.24002186999999997,83.41
0.24244633333333332,83.54
0.24487079666666664,83.68
0.24729526,83.8
0.2497197233333333,83.93
0.25214418666666666,84.05
0.25456864999999995,84.4
0.2569931133333333,84.28
0.25941757666666665,84.38
0.26184204,84.49
0.2642665033333333,84.59
0.26669096666666664,84.69
0.26911543,84.78
0.2715398933333333,84.87
0.27396435666666663,84.95
0.27638882,85.03
0.27881328333333333,85.11
0.2812377466666666,85.18
0.28366220999999997,85.25
0.2860866733333333,85.31
0.28851113666666667,85.38
0.29093559999999996,85.46
0.2933600633333333,85.55
0.29578452666666666,85.65
0.29820898999999995,85.76
0.3006334533333333,85.88
0.30305791666666665,86.01
0.30548238,86.56
0.3079068433333333,86.3
0.31033130666666664,86.46
0.31275577,86.63
0.3151802333333333,86.82
0.31760469666666663,87.01
0.32002916,87.21
0.32245362333333333,87.42
0.3248780866666666,87.64
0.32730254999999997,87.87
0.3297270133333333,88.11
0.3321514766666666,88.36
0.33457593999999996,88.63
0.3370004033333333,88.9
0.33942486666666666,89.18
0.34184932999999995,89.46
0.3442737933333333,89.74
0.34669825666666665,90.02
0.34912272,90.31
0.3515471833333333,90.59
0.35397164666666664,90.88
0.35639611,92.03
0.3588205733333333,91.45
0.36124503666666663,91.74
0.3636695,92.03
0.3660939633333333,92.32
0.3685184266666666,92.61
0.37094288999999997,92.9
0.3733673533333333,93.2
0.3757918166666666,93.49
0.37821627999999996,93.79
0.3806407433333333,94.08
0.38306520666666666,94.38
0.38548966999999995,94.68
0.3879141333333333,94.98
0.39033859666666665,95.28
0.39276305999999994,95.57
0.3951875233333333,95.83
0.39761198666666664,96.08
0.40003645,96.32
0.4024609133333333,96.53
0.40488537666666663,96.72
0.40730984,97.37
0.40973430333333327,97.06
0.4121587666666666,97.2
0.41458322999999997,97.32
0.4170076933333333,97.43
0.4194321566666666,97.51
0.42185661999999996,97.58
0.4242810833333333,97.63
0.4267055466666666,97.66
0.42913000999999995,97.68
0.4315544733333333,97.67
0.43397893666666665,97.65
0.43640339999999994,97.61
0.4388278633333333,97.55
0.44125232666666664,97.47
0.44367679,97.38
0.4461012533333333,97.27
0.44852571666666663,97.14
0.45095018,97.0
0.45337464333333327,96.85
0.4557991066666666,96.68
0.45822356999999997,95.66
0.4606480333333333,96.3
0.4630724966666666,96.09
0.46549695999999996,95.87
0.4679214233333333,95.62
0.4703458866666666,95.37
0.47277034999999995,95.1
0.4751948133333333,94.81
0.47761927666666665,94.51
0.48004373999999994,94.2
0.4824682033333333,93.87
0.48489266666666664,93.53
0.48731712999999993,93.17
0.4897415933333333,92.8
0.49216605666666663,92.41
0.49459052,92.01
0.49701498333333327,91.6
0.4994394466666666,91.19
0.50186391,90.78
0.5042883733333333,90.36
0.5067128366666667,89.94
0.5091372999999999,87.66
0.5115617633333333,89.09
0.5139862266666666,88.66
0.51641069,88.22
0.5188351533333333,87.79
0.5212596166666666,87.34
0.52368408,86.9
0.5261085433333332,86.45
0.5285330066666666,86.0
0.5309574699999999,85.55
0.5333819333333333,85.09
0.5358063966666666,84.63
