Time Steps,Interpolated Volumes
0.0,41.83
0.002092470588235294,41.85
0.004184941176470588,41.88
0.006277411764705882,41.9
0.008369882352941177,41.93
0.010462352941176471,41.96
0.012554823529411764,41.98
0.014647294117647059,42.01
0.016739764705882353,42.04
0.018832235294117646,42.07
0.020924705882352942,42.1
0.023017176470588235,42.13
0.025109647058823528,42.16
0.027202117647058825,42.19
0.029294588235294117,42.22
0.031387058823529414,42.26
0.03347952941176471,42.29
0.035572,42.32
0.03766447058823529,42.36
0.03975694117647059,42.39
0.041849411764705885,42.43
0.04394188235294118,42.47
0.04603435294117647,42.5
0.048126823529411764,42.53
0.050219294117647056,42.57
0.052311764705882356,42.61
0.05440423529411765,42.65
0.05649670588235294,42.69
0.058589176470588235,42.73
0.06068164705882353,42.77
0.06277411764705883,42.81
0.06486658823529412,42.85
0.06695905882352941,42.89
0.0690515294117647,42.94
0.071144,43.0
0.07323647058823529,43.06
0.07532894117647058,43.14
0.07742141176470588,43.23
0.07951388235294118,43.33
0.08160635294117648,43.43
0.08369882352941177,43.55
0.08579129411764706,43.67
0.08788376470588236,43.88
0.08997623529411765,43.95
0.09206870588235294,44.11
0.09416117647058823,44.27
0.09625364705882353,44.45
0.09834611764705882,44.63
0.10043858823529411,44.82
0.10253105882352942,45.03
0.10462352941176471,45.24
0.106716,45.46
0.1088084705882353,45.69
0.11090094117647059,45.94
0.11299341176470588,46.19
0.11508588235294118,46.44
0.11717835294117647,46.7
0.11927082352941176,46.97
0.12136329411764706,47.24
0.12345576470588236,47.52
0.12554823529411765,47.8
0.12764070588235293,48.09
0.12973317647058824,48.38
0.13182564705882352,48.91
0.13391811764705883,48.99
0.13601058823529413,49.3
0.1381030588235294,49.61
0.14019552941176472,49.93
0.142288,50.26
0.1443804705882353,50.59
0.14647294117647058,50.93
0.1485654117647059,51.27
0.15065788235294117,51.62
0.15275035294117648,51.98
0.15484282352941175,52.34
0.15693529411764706,52.7
0.15902776470588237,53.05
0.16112023529411765,53.39
0.16321270588235295,53.72
0.16530517647058823,54.04
0.16739764705882354,54.35
0.16949011764705882,54.64
0.17158258823529413,54.93
0.1736750588235294,55.2
0.1757675294117647,55.72
0.17786,55.72
0.1799524705882353,55.96
0.1820449411764706,56.19
0.18413741176470588,56.41
0.1862298823529412,56.62
0.18832235294117647,56.82
0.19041482352941178,57.0
0.19250729411764705,57.18
0.19459976470588236,57.34
0.19669223529411764,57.49
0.19878470588235295,57.64
0.20087717647058823,57.77
0.20296964705882353,57.9
0.20506211764705884,58.02
0.20715458823529412,58.15
0.20924705882352942,58.27
0.2113395294117647,58.39
0.213432,58.5
0.2155244705882353,58.62
0.2176169411764706,58.73
0.21970941176470588,58.98
0.22180188235294118,58.95
0.2238943529411765,59.06
0.22598682352941177,59.17
0.22807929411764707,59.27
0.23017176470588235,59.37
0.23226423529411766,59.47
0.23435670588235294,59.57
