Total Diastolic Data: 16
0.05629282178685236,0.0529253352080785,0.05232272180148183,0.05858012968336326,0.06492348740165964,0.06786188249336002,0.06979153402203782,0.07206794391679316,0.07384647021607049,0.07096311513423346,0.06938497673241077,0.0667581150712077,0.06278777677522911,0.06172096308555006,0.06373028447284639,0.06413722305700337

Total Systolic Data: 8
0.1158897310276757,0.4649098488792826,0.5669298958899841,0.5304286125609741,0.5078142497613723,0.3896236882779729,0.2762470212473847,0.09456712302318415
