Flow Time,Interpolated Data
0.612091,12.4413
0.614016,11.9795
0.615941,11.5191
0.617866,11.0600
0.619790,10.6022
0.621715,10.1457
0.623640,9.6906
0.625565,9.2367
0.627490,8.7842
0.629414,8.3330
0.631339,7.8831
0.633264,7.4345
0.635189,6.9873
0.637114,6.5413
0.639038,6.0967
0.640963,5.6534
0.642888,5.2115
0.644813,4.7708
0.646738,4.3314
0.648663,3.8934
0.650587,3.4567
0.652512,3.0213
0.654437,2.5873
