Diastolic Flow Time,Diastolic Data,Systolic Flow Time,Systolic Data
0.0,1.172770936846144e-05,0.4184941176470588,2.254087514821939e-05
0.0418494117647058,1.0183924497071332e-05,0.4603435294117647,2.080750143797103e-05
0.0836988235294117,1.091965094590092e-05,0.5021929411764706,1.5443362437495788e-05
0.1255482352941176,1.5843395707526924e-05,0.5440423529411765,1.2823229695898043e-05
0.1673976470588235,1.9336650962177113e-05,0.5858917647058823,1.36657477542978e-05
0.2092470588235294,2.027761603985204e-05,0.6277411764705882,1.3330321718506993e-05
0.2510964705882353,2.1587918770117415e-05,0.6695905882352942,1.3335647123224122e-05
0.2929458823529411,2.2230994999156305e-05,0.71144,1.439076552107444e-05
0.3347952941176471,2.219414359803227e-05,,
0.3766447058823529,2.257754973488693e-05,,
