Diastolic Flow Time,Diastolic Data,Systolic Flow Time,Systolic Data
0.0,66.19694914246055,0.4184941176470588,69.9998058038438
0.0418494117647058,58.416279472796234,0.4603435294117647,72.47276077586973
0.0836988235294117,56.37646494711657,0.5021929411764706,62.196071287283665
0.1255482352941176,79.12840871200933,0.5440423529411765,59.61133591932722
0.1673976470588235,96.99313858893959,0.5858917647058823,67.86490200396835
0.2092470588235294,98.40099565050429,0.6277411764705882,73.21610622618334
0.2510964705882353,86.66393687370221,0.6695905882352942,74.93055125352504
0.2929458823529411,83.56175378211904,0.71144,72.96321699905903
0.3347952941176471,87.76778531269187,,
0.3766447058823529,75.47620666424514,,
