Diastolic Flow Time,Diastolic Data,Systolic Flow Time,Systolic Data
0.0,0.012369360658276766,0.4184941176470588,0.012469533549661543
0.0418494117647058,0.011328470589386474,0.4603435294117647,0.0111020704777446
0.0836988235294117,0.0092732562830217,0.5021929411764706,0.01078957762213856
0.1255482352941176,0.007971474772957033,0.5440423529411765,0.010358886330608288
0.1673976470588235,0.008873003893567884,0.5858917647058823,0.0098525857335137
0.2092470588235294,0.0112093185406802,0.6277411764705882,0.010631267679080228
0.2510964705882353,0.011770900747502347,0.6695905882352942,0.011996715744249402
0.2929458823529411,0.011322091157777355,0.71144,0.0136373519199123
0.3347952941176471,0.0109678174449887,,
0.3766447058823529,0.012356056765693011,,
