Diastolic Flow Time,Diastolic Data,Systolic Flow Time,Systolic Data
0.0,0.4364492728637491,0.6153846720000009,0.5077324348839929
0.0439560479999999,0.2968638067863272,0.659340720000001,0.8886674959996165
0.087912096,0.4364097053366391,0.7032967680000011,1.282311086395217
0.1318681440000001,0.6552130145307689,0.7472528160000012,1.471338606240554
0.1758241920000002,0.7310225716589042,0.7912088640000012,1.280904887390041
0.2197802400000002,0.8863908887729398,0.8351649120000013,0.965124807549511
0.2637362880000003,0.7804093993650011,0.8791209600000014,0.5769977774901153
0.3076923360000004,0.5897146322938748,0.923077,0.3936458993418693
0.3516483840000005,0.4754052869036554,,
0.3956044320000006,0.4036526681954726,,
0.4395604800000006,0.3490783949990342,,
0.4835165280000007,0.3231928069356817,,
0.5274725760000007,0.2863953332672565,,
0.5714286240000008,0.2902898675087344,,
