Diastolic Flow Time,Diastolic Data,Systolic Flow Time,Systolic Data
0.0,0.1042837255611465,0.6153846720000009,0.2363875544393516
0.0439560479999999,0.06934774437501894,0.659340720000001,0.6524478639209136
0.087912096,0.0664770749303133,0.7032967680000011,0.8047233002392584
0.1318681440000001,0.06439591469329552,0.7472528160000012,0.8507083261181626
0.1758241920000002,0.06728945641541335,0.7912088640000012,0.7565271366781559
0.2197802400000002,0.07121269635943052,0.8351649120000013,0.584382710205591
0.2637362880000003,0.07124395049024143,0.8791209600000014,0.430753168749846
0.3076923360000004,0.07003896321943864,0.923077,0.1215358496426744
0.3516483840000005,0.07322056157168604,,
0.3956044320000006,0.07292240215814492,,
0.4395604800000006,0.07065913665348,,
0.4835165280000007,0.06999733457507537,,
0.5274725760000007,0.07015104526298704,,
0.5714286240000008,0.07283532612303657,,
